libelle_region,Classe_DPE,Nombre_logements
Provence-Alpes-Côte d'Azur,C,80.0
Provence-Alpes-Côte d'Azur,C,22.0
Provence-Alpes-Côte d'Azur,C,1.0
Provence-Alpes-Côte d'Azur,C,0.0
Provence-Alpes-Côte d'Azur,C,11.0
Provence-Alpes-Côte d'Azur,C,1.0
Provence-Alpes-Côte d'Azur,C,25.0
Provence-Alpes-Côte d'Azur,C,0.0
Provence-Alpes-Côte d'Azur,C,1.0
Provence-Alpes-Côte d'Azur,C,9.0
Provence-Alpes-Côte d'Azur,C,1.0
Provence-Alpes-Côte d'Azur,C,5.0
Provence-Alpes-Côte d'Azur,C,0.0
Provence-Alpes-Côte d'Azur,C,12.0
Provence-Alpes-Côte d'Azur,C,2.0
Provence-Alpes-Côte d'Azur,C,6.0
Provence-Alpes-Côte d'Azur,C,0.0
Provence-Alpes-Côte d'Azur,C,81.0
Provence-Alpes-Côte d'Azur,C,0.0
Provence-Alpes-Côte d'Azur,C,3.0
Provence-Alpes-Côte d'Azur,C,9.0
Auvergne-Rhône-Alpes,C,0.0
Auvergne-Rhône-Alpes,C,0.0
Auvergne-Rhône-Alpes,C,1.0
Auvergne-Rhône-Alpes,C,10.0
Auvergne-Rhône-Alpes,C,7.0
Auvergne-Rhône-Alpes,C,3.0
Auvergne-Rhône-Alpes,C,3.0
Auvergne-Rhône-Alpes,C,7.0
Auvergne-Rhône-Alpes,C,10.0
Auvergne-Rhône-Alpes,C,3.0
Auvergne-Rhône-Alpes,C,0.0
Auvergne-Rhône-Alpes,C,1.0
Auvergne-Rhône-Alpes,C,1.0
Auvergne-Rhône-Alpes,C,0.0
Auvergne-Rhône-Alpes,C,1.0
Auvergne-Rhône-Alpes,C,8.0
Auvergne-Rhône-Alpes,C,2.0
Auvergne-Rhône-Alpes,C,1.0
Auvergne-Rhône-Alpes,C,1.0
Auvergne-Rhône-Alpes,C,0.0
Grand Est,C,1.0
Grand Est,C,2.0
Grand Est,C,5.0
Grand Est,C,1.0
Grand Est,C,2.0
Grand Est,C,1.0
Grand Est,C,2.0
Grand Est,C,5.0
Grand Est,C,2.0
Grand Est,C,1.0
Grand Est,C,6.0
Grand Est,C,6.0
Grand Est,C,1.0
Grand Est,C,3.0
Grand Est,C,4.0
Grand Est,C,3.0
Occitanie,C,1.0
Occitanie,C,3.0
Occitanie,C,1.0
Occitanie,C,3.0
Occitanie,C,1.0
Occitanie,C,6.0
Occitanie,C,23.0
Occitanie,C,21.0
Occitanie,C,12.0
Grand Est,C,38.0
Grand Est,C,1.0
Grand Est,C,4.0
Grand Est,C,0.0
Grand Est,C,0.0
Grand Est,C,79.0
Grand Est,C,2.0
Occitanie,C,8.0
Occitanie,C,3.0
Occitanie,C,4.0
Occitanie,C,4.0
Occitanie,C,0.0
Occitanie,C,2.0
Occitanie,C,0.0
Occitanie,C,3.0
Occitanie,C,5.0
Occitanie,C,1.0
Occitanie,C,1.0
Occitanie,C,3.0
Occitanie,C,13.0
Occitanie,C,5.0
Occitanie,C,3.0
Occitanie,C,6.0
Occitanie,C,1.0
Occitanie,C,2.0
Occitanie,C,23.0
Occitanie,C,7.0
Occitanie,C,4.0
Occitanie,C,2.0
Occitanie,C,6.0
Occitanie,C,2.0
Occitanie,C,8.0
Occitanie,C,4.0
Occitanie,C,3.0
Occitanie,C,1.0
Occitanie,C,1.0
Occitanie,C,21.0
Occitanie,C,1.0
Occitanie,C,3.0
Occitanie,C,0.0
Occitanie,C,0.0
Occitanie,C,2.0
Occitanie,C,1.0
Occitanie,C,6.0
Occitanie,C,12.0
Occitanie,C,1.0
Occitanie,C,2.0
Occitanie,C,2.0
Occitanie,C,7.0
Occitanie,C,3.0
Occitanie,C,3.0
Occitanie,C,2.0
Occitanie,C,2.0
Occitanie,C,17.0
Occitanie,C,1.0
Occitanie,C,1.0
Occitanie,C,5.0
Occitanie,C,4.0
Occitanie,C,6.0
Occitanie,C,5.0
Occitanie,C,6.0
Occitanie,C,8.0
Occitanie,C,3.0
Occitanie,C,4.0
Occitanie,C,8.0
Occitanie,C,4.0
Occitanie,C,4.0
Occitanie,C,1.0
Provence-Alpes-Côte d'Azur,C,15.0
Provence-Alpes-Côte d'Azur,C,10.0
Provence-Alpes-Côte d'Azur,C,2.0
Provence-Alpes-Côte d'Azur,C,1.0
Provence-Alpes-Côte d'Azur,C,1.0
Provence-Alpes-Côte d'Azur,C,2.0
Provence-Alpes-Côte d'Azur,C,1.0
Provence-Alpes-Côte d'Azur,C,4.0
Provence-Alpes-Côte d'Azur,C,17.0
Provence-Alpes-Côte d'Azur,C,2.0
Provence-Alpes-Côte d'Azur,C,23.0
Provence-Alpes-Côte d'Azur,C,42.0
Provence-Alpes-Côte d'Azur,C,26.0
Provence-Alpes-Côte d'Azur,C,2.0
Provence-Alpes-Côte d'Azur,C,69.0
Provence-Alpes-Côte d'Azur,C,15.0
Provence-Alpes-Côte d'Azur,C,6.0
Provence-Alpes-Côte d'Azur,C,31.0
Provence-Alpes-Côte d'Azur,C,9.0
Provence-Alpes-Côte d'Azur,C,4.0
Provence-Alpes-Côte d'Azur,C,86.0
